Eje_X_Distancia Banda_1 Banda_2 Banda_3
1.29318355e+00 -3.15277003e-01 3.11324629e+00 3.46754509e+00
1.32129624e+00 -3.22742936e-01 3.11093094e+00 3.47033721e+00
1.34940893e+00 -3.30153857e-01 3.10885572e+00 3.47275405e+00
1.37752161e+00 -3.37501706e-01 3.10703191e+00 3.47478024e+00
1.40563430e+00 -3.44778461e-01 3.10547035e+00 3.47640092e+00
1.43374698e+00 -3.51976119e-01 3.10418135e+00 3.47760174e+00
1.46185967e+00 -3.59086687e-01 3.10317476e+00 3.47836896e+00
1.48997235e+00 -3.66102168e-01 3.10245982e+00 3.47868937e+00
1.51808504e+00 -3.73014546e-01 3.10204524e+00 3.47855035e+00
1.54619773e+00 -3.79815782e-01 3.10193909e+00 3.47793988e+00
1.57431041e+00 -3.86497797e-01 3.10214882e+00 3.47684655e+00
1.60242310e+00 -3.93052465e-01 3.10268123e+00 3.47525956e+00
1.63053578e+00 -3.99471604e-01 3.10354242e+00 3.47316876e+00
1.65864847e+00 -4.05746970e-01 3.10473779e+00 3.47056466e+00
1.68676116e+00 -4.11870254e-01 3.10627200e+00 3.46743842e+00
1.71487384e+00 -4.17833071e-01 3.10814894e+00 3.46378192e+00
1.74298653e+00 -4.23626964e-01 3.11037171e+00 3.45958774e+00
1.77109921e+00 -4.29243401e-01 3.11294261e+00 3.45484918e+00
1.79921190e+00 -4.34673774e-01 3.11586304e+00 3.44956035e+00
1.82732459e+00 -4.39909402e-01 3.11913353e+00 3.44371616e+00
1.85543727e+00 -4.44941539e-01 3.12275364e+00 3.43731241e+00
1.88354996e+00 -4.49761372e-01 3.12672188e+00 3.43034584e+00
1.91166264e+00 -4.54360037e-01 3.13103566e+00 3.42281425e+00
1.93977533e+00 -4.58728620e-01 3.13569110e+00 3.41471664e+00
1.96788802e+00 -4.62858175e-01 3.14068286e+00 3.40605342e+00
1.99600070e+00 -4.66739730e-01 3.14600381e+00 3.39682672e+00
2.02411339e+00 -4.70364306e-01 3.15164462e+00 3.38704086e+00
2.05222607e+00 -4.73722930e-01 3.15759298e+00 3.37670307e+00
2.08033876e+00 -4.76806652e-01 3.16383247e+00 3.36582472e+00
2.10845145e+00 -4.79606564e-01 3.17034048e+00 3.35442335e+00
2.13656413e+00 -4.82113818e-01 3.17708463e+00 3.34252629e+00
2.16467682e+00 -4.84319652e-01 3.18401585e+00 3.33017760e+00
2.19278950e+00 -4.86215403e-01 3.19105448e+00 3.31745199e+00
2.22090219e+00 -4.87792542e-01 3.19805970e+00 3.30448543e+00
2.24901488e+00 -4.89042689e-01 3.20475659e+00 3.29154803e+00
2.27712756e+00 -4.89957641e-01 3.21055038e+00 3.27922992e+00
2.30524025e+00 -4.90529401e-01 3.21408723e+00 3.26888045e+00
2.33335293e+00 -4.90750203e-01 3.21286208e+00 3.26300035e+00
2.36146562e+00 -4.90612538e-01 3.20517358e+00 3.26328684e+00
2.38957830e+00 -4.90109187e-01 3.19256998e+00 3.26818775e+00
2.41769099e+00 -4.89233249e-01 3.17722764e+00 3.27552308e+00
2.44580368e+00 -4.87978168e-01 3.16030382e+00 3.28413219e+00
2.47391636e+00 -4.86337768e-01 3.14231536e+00 3.29349518e+00
2.50202905e+00 -4.84306280e-01 3.12350765e+00 3.30336391e+00
2.53014173e+00 -4.81878380e-01 3.10401084e+00 3.31360590e+00
2.55825442e+00 -4.79049213e-01 3.08390218e+00 3.32414192e+00
2.58636711e+00 -4.75814436e-01 3.06323271e+00 3.33491939e+00
2.61447979e+00 -4.72170240e-01 3.04203962e+00 3.34590006e+00
2.64259248e+00 -4.68113395e-01 3.02035242e+00 3.35705384e+00
2.67070516e+00 -4.63641277e-01 2.99819625e+00 3.36835554e+00
2.69881785e+00 -4.58751907e-01 2.97559377e+00 3.37978302e+00
2.72693054e+00 -4.53443987e-01 2.95256624e+00 3.39131609e+00
2.75504322e+00 -4.47716933e-01 2.92913425e+00 3.40293592e+00
2.78315591e+00 -4.41570917e-01 2.90531814e+00 3.41462457e+00
2.81126859e+00 -4.35006903e-01 2.88113831e+00 3.42636475e+00
2.83938128e+00 -4.28026685e-01 2.85661540e+00 3.43813964e+00
2.86749397e+00 -4.20632930e-01 2.83177047e+00 3.44993282e+00
2.89560665e+00 -4.12829217e-01 2.80662509e+00 3.46172816e+00
2.92371934e+00 -4.04620078e-01 2.78120146e+00 3.47350978e+00
2.95183202e+00 -3.96011045e-01 2.75552240e+00 3.48526205e+00
2.97994471e+00 -3.87008692e-01 2.72961150e+00 3.49696955e+00
3.00805740e+00 -3.77620680e-01 2.70349312e+00 3.50861707e+00
3.03617008e+00 -3.67855809e-01 2.67719243e+00 3.52018962e+00
3.06428277e+00 -3.57724061e-01 2.65073546e+00 3.53167245e+00
3.09239545e+00 -3.47236654e-01 2.62414918e+00 3.54305101e+00
3.12050814e+00 -3.36406092e-01 2.59746148e+00 3.55431102e+00
