Eje_X_Distancia Banda_1 Banda_2 Banda_3
5.77715696e+00 -5.31155006e-01 2.15105478e+00 3.44088027e+00
5.79121330e+00 -5.33244751e-01 2.15151196e+00 3.44310539e+00
5.80526965e+00 -5.35268707e-01 2.15190725e+00 3.44531236e+00
5.81932599e+00 -5.37227339e-01 2.15224446e+00 3.44749762e+00
5.83338233e+00 -5.39121115e-01 2.15252736e+00 3.44965767e+00
5.84743868e+00 -5.40950507e-01 2.15275967e+00 3.45178907e+00
5.86149502e+00 -5.42715988e-01 2.15294504e+00 3.45388846e+00
5.87555136e+00 -5.44418031e-01 2.15308705e+00 3.45595254e+00
5.88960770e+00 -5.46057109e-01 2.15318923e+00 3.45797809e+00
5.90366405e+00 -5.47633691e-01 2.15325499e+00 3.45996198e+00
5.91772039e+00 -5.49148245e-01 2.15328769e+00 3.46190116e+00
5.93177673e+00 -5.50601231e-01 2.15329058e+00 3.46379267e+00
5.94583308e+00 -5.51993104e-01 2.15326685e+00 3.46563364e+00
5.95988942e+00 -5.53324312e-01 2.15321955e+00 3.46742131e+00
5.97394576e+00 -5.54595293e-01 2.15315165e+00 3.46915299e+00
5.98800210e+00 -5.55806478e-01 2.15306602e+00 3.47082612e+00
6.00205845e+00 -5.56958283e-01 2.15296542e+00 3.47243822e+00
6.01611479e+00 -5.58051116e-01 2.15285250e+00 3.47398693e+00
6.03017113e+00 -5.59085370e-01 2.15272978e+00 3.47546998e+00
6.04422748e+00 -5.60061424e-01 2.15259969e+00 3.47688524e+00
6.05828382e+00 -5.60979643e-01 2.15246452e+00 3.47823065e+00
6.07234016e+00 -5.61840376e-01 2.15232645e+00 3.47950428e+00
6.08639651e+00 -5.62643954e-01 2.15218755e+00 3.48070432e+00
6.10045285e+00 -5.63390692e-01 2.15204973e+00 3.48182906e+00
6.11450919e+00 -5.64080888e-01 2.15191480e+00 3.48287690e+00
6.12856553e+00 -5.64714817e-01 2.15178445e+00 3.48384638e+00
6.14262188e+00 -5.65292738e-01 2.15166021e+00 3.48473613e+00
6.15667822e+00 -5.65814887e-01 2.15154350e+00 3.48554490e+00
6.17073456e+00 -5.66281483e-01 2.15143561e+00 3.48627158e+00
6.18479091e+00 -5.66692719e-01 2.15133769e+00 3.48691514e+00
6.19884725e+00 -5.67048770e-01 2.15125076e+00 3.48747471e+00
6.21290359e+00 -5.67349785e-01 2.15117570e+00 3.48794949e+00
6.22695994e+00 -5.67595894e-01 2.15111327e+00 3.48833885e+00
6.24101628e+00 -5.67787203e-01 2.15106407e+00 3.48864224e+00
6.25507262e+00 -5.67923793e-01 2.15102859e+00 3.48885925e+00
6.26912896e+00 -5.68005723e-01 2.15100716e+00 3.48898957e+00
6.28318531e+00 -5.68033029e-01 2.15100000e+00 3.48903303e+00
6.28318531e+00 -5.68033029e-01 2.15100000e+00 3.48903303e+00
6.30753161e+00 -5.68025598e-01 2.15108646e+00 3.48902004e+00
6.33187791e+00 -5.68003251e-01 2.15134581e+00 3.48898103e+00
6.35622421e+00 -5.67965833e-01 2.15177794e+00 3.48891584e+00
6.38057051e+00 -5.67913082e-01 2.15238264e+00 3.48882422e+00
6.40491681e+00 -5.67844635e-01 2.15315966e+00 3.48870584e+00
6.42926311e+00 -5.67760025e-01 2.15410864e+00 3.48856024e+00
6.45360941e+00 -5.67658685e-01 2.15522916e+00 3.48838689e+00
6.47795571e+00 -5.67539944e-01 2.15652073e+00 3.48818514e+00
6.50230201e+00 -5.67403037e-01 2.15798278e+00 3.48795427e+00
6.52664831e+00 -5.67247097e-01 2.15961464e+00 3.48769346e+00
6.55099461e+00 -5.67071165e-01 2.16141561e+00 3.48740178e+00
6.57534091e+00 -5.66874187e-01 2.16338486e+00 3.48707824e+00
